"Feature","Missing_Rate","Domain"
"ORIGPROT",0,"Demographics"
"COLPROT",0,"Demographics"
"PTID",0,"Demographics"
"RID",0,"Demographics"
"VISCODE",0,"Demographics"
"VISCODE2",0,"Demographics"
"VISDATE",0,"Demographics"
"PTSOURCE",0,"Demographics"
"PTGENDER",0,"Demographics"
"PTDOB",0,"Demographics"
"PTDOBYY",0,"Demographics"
"PTHAND",0,"Demographics"
"PTMARRY",0,"Demographics"
"PTEDUCAT",0.0024390243902439,"Demographics"
"PTWORKHS",1,"Demographics"
"PTWORK",1,"Demographics"
"PTNOTRT",0.0048780487804878,"Demographics"
"PTRTYR",0.265853658536585,"Demographics"
"PTHOME",0,"Demographics"
"PTTLANG",0,"Demographics"
"PTPLANG",0,"Demographics"
"PTADBEG",1,"Demographics"
"PTCOGBEG",0.0121951219512195,"Demographics"
"PTADDX",0.00975609756097561,"Demographics"
"PTETHCAT",0,"Demographics"
"PTRACCAT",0,"Demographics"
"PTIDENT",1,"Demographics"
"PTORIENT",1,"Demographics"
"PTORIENTOT",1,"Demographics"
"PTENGSPK",1,"Demographics"
"PTNLANG",1,"Demographics"
"PTENGSPKAGE",1,"Demographics"
"PTCLANG",1,"Demographics"
"PTLANGSP",1,"Demographics"
"PTLANGWR",1,"Demographics"
"PTSPTIM",1,"Demographics"
"PTSPOTTIM",1,"Demographics"
"PTLANGPR1",1,"Demographics"
"PTLANGSP1",1,"Demographics"
"PTLANGRD1",1,"Demographics"
"PTLANGWR1",1,"Demographics"
"PTLANGUN1",1,"Demographics"
"PTLANGPR2",1,"Demographics"
"PTLANGSP2",1,"Demographics"
"PTLANGRD2",1,"Demographics"
"PTLANGWR2",1,"Demographics"
"PTLANGUN2",1,"Demographics"
"PTLANGPR3",1,"Demographics"
"PTLANGSP3",1,"Demographics"
"PTLANGRD3",1,"Demographics"
"PTLANGWR3",1,"Demographics"
"PTLANGUN3",1,"Demographics"
"PTLANGPR4",1,"Demographics"
"PTLANGSP4",1,"Demographics"
"PTLANGRD4",1,"Demographics"
"PTLANGWR4",1,"Demographics"
"PTLANGUN4",1,"Demographics"
"PTLANGPR5",1,"Demographics"
"PTLANGSP5",1,"Demographics"
"PTLANGRD5",1,"Demographics"
"PTLANGWR5",1,"Demographics"
"PTLANGUN5",1,"Demographics"
"PTLANGPR6",1,"Demographics"
"PTLANGSP6",1,"Demographics"
"PTLANGRD6",1,"Demographics"
"PTLANGWR6",1,"Demographics"
"PTLANGUN6",1,"Demographics"
"PTLANGTTL",1,"Demographics"
"PTETHCATH",1,"Demographics"
"PTASIAN",1,"Demographics"
"PTOPI",1,"Demographics"
"PTBORN",1,"Demographics"
"PTBIRPL",1,"Demographics"
"PTIMMAGE",1,"Demographics"
"PTIMMWHY",1,"Demographics"
"PTBIRPR",1,"Demographics"
"PTBIRGR",1,"Demographics"
"ID",0,"Demographics"
"SITEID",0,"Demographics"
"USERDATE",0,"Demographics"
"USERDATE2",0.85609756097561,"Demographics"
"DD_CRF_VERSION_LABEL",1,"Demographics"
"LANGUAGE_CODE",1,"Demographics"
"HAS_QC_ERROR",1,"Demographics"
"update_stamp",0,"Demographics"
"ORIGPROT.apoe",1,"Other Metadata"
"COLPROT.apoe",1,"Other Metadata"
"PTID.apoe",1,"Other Metadata"
"VISCODE.apoe",1,"Other Metadata"
"GENOTYPE",1,"Genetics"
"APTESTDT",1,"Genetics"
"APVOLUME",1,"Genetics"
"APRECEIVE",1,"Genetics"
"APAMBTEMP",1,"Genetics"
"APRESAMP",1,"Genetics"
"APUSABLE",1,"Genetics"
"ID.apoe",1,"Other Metadata"
"SITEID.apoe",1,"Other Metadata"
"USERDATE.apoe",1,"Other Metadata"
